"term","c","cDis"
"just",220021,220021
"said",219476,219476
"one",215120,215120
"like",197355,197355
"can",177836,177836
"get",163523,163523
"time",162196,162196
"new",140468,140468
"good",130430,130430
"now",130017,130017
"day",127153,127153
"know",118070,118070
"love",116186,116186
"people",114808,114808
"back",104709,104709
"go",102464,102464
"first",101520,101520
"year",100890,100890
"see",100477,100477
"make",94678,94678
"also",94401,94401
"going",91731,91731
"think",91263,91263
"last",90431,90431
"great",89847,89847
"two",88770,88770
"much",87013,87013
"us",86084,86084
"well",83793,83793
"really",82605,82605
"way",81472,81472
"today",80215,80215
"even",78151,78151
"got",77844,77844
"want",77599,77599
"work",77014,77014
"right",75552,75552
"still",74275,74275
"thanks",71301,71301
"need",70432,70432
"years",67494,67494
"life",65772,65772
"rt",64729,64729
"many",64266,64266
"say",62427,62427
"take",62143,62143
"made",61178,61178
"come",60432,60432
"home",60147,60147
"little",59815,59815
"never",59219,59219
"best",58045,58045
"may",57432,57432
"u",57025,57025
"week",56356,56356
"night",55736,55736
"next",55668,55668
"game",53951,53951
"school",53804,53804
"things",53695,53695
"lol",52559,52559
"something",51759,51759
"long",50058,50058
"always",49102,49102
"state",48830,48830
"happy",48678,48678
"better",48477,48477
"around",48453,48453
"another",48085,48085
"world",47664,47664
"every",47129,47129
"old",46981,46981
"show",46698,46698
"look",46528,46528
"big",46072,46072
"three",45736,45736
"man",44424,44424
"since",42769,42769
"city",42393,42393
"feel",42181,42181
"follow",41259,41259
"hope",41161,41161
"sure",41117,41117
"help",41087,41087
"thing",40617,40617
"use",40102,40102
"find",39814,39814
"ever",39032,39032
"getting",38815,38815
"lot",38508,38508
"days",38437,38437
"high",38237,38237
"keep",38203,38203
"house",37839,37839
"says",37761,37761
"team",37389,37389
"place",37352,37352
"family",37324,37324
"part",37019,37019
"tonight",36662,36662
"looking",36238,36238
"put",36171,36171
"give",35716,35716
"end",35712,35712
"let",35695,35695
"play",35520,35520
"thank",35463,35463
"free",35402,35402
"though",35357,35357
"away",33913,33913
"book",33873,33873
"might",33383,33383
"morning",33346,33346
"start",33245,33245
"oh",33192,33192
"season",33164,33164
"everyone",32646,32646
"used",32641,32641
"left",32304,32304
"yes",32259,32259
"thought",32250,32250
"done",31940,31940
"went",31075,31075
"fun",31040,31040
"friends",30992,30992
"without",30955,30955
